sensor,time,t,ax,ay,az,wx,wy,wz,lat,lon,alt,v_kmh,satellites,x,y
acc,1778673004.0,3.0,-0.074219,0.128906,-9.796875,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.1398940465573602,-9.79809582460613,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.13727698757880102,-9.808039124052726,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.13566630118218828,-9.814158793990352,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.14025001897714992,-9.817674457921958,,,,,,,,,,
acc,1778673004.0,3.0,-0.074219,0.14356105124899687,-9.820213985278402,,,,,,,,,,
acc,1778673004.0,3.0,-0.07898998860438573,0.14606501399719543,-9.822611573126967,,,,,,,,,,
acc,1778673004.0,3.0,-0.08272465274243644,0.1480250815333274,-9.819808580366423,,,,,,,,,,
acc,1778673004.0,3.0,-0.0818886998596659,0.14960122255729436,-9.813715430122862,,,,,,,,,,
acc,1778673004.0,3.0,-0.08120183108929889,0.15089627407200318,-9.81570559786413,,,,,,,,,,
acc,1778673004.0,3.0,-0.0806273866392674,0.15197935600442505,-9.81737002178748,,,,,,,,,,
acc,1778673004.0,3.0,-0.08013981576039217,0.15289864282085416,-9.818782733904527,,,,,,,,,,
acc,1778673004.0,3.0,-0.07972076511279366,0.15120054361990679,-9.820273362485743,,,,,,,,,,
acc,1778673004.0,3.0,-0.07935671119771516,0.15205159113880146,-9.821309897579196,,,,,,,,,,
acc,1778673004.0,3.0,-0.07903746966619186,0.15279788091094262,-9.820034295185161,,,,,,,,,,
acc,1778673004.0,3.0,-0.078755224636179,0.15345768409548194,-9.818906520755966,,,,,,,,,,
acc,1778673004.0,3.0,-0.07850387801493677,0.15620968891005974,-9.81790220797041,,,,,,,,,,
acc,1778673004.0,3.0,-0.08033227217822195,0.15662252122468637,-9.819055789468505,,,,,,,,,,
acc,1778673004.0,3.0,-0.08002646302927517,0.1569946722767843,-9.818141614923087,,,,,,,,,,
acc,1778673004.0,3.0,-0.08161324374314956,0.15733189842248888,-9.81712685250318,,,,,,,,,,
acc,1778673004.0,3.0,-0.08127592585795379,0.1576389188170197,-9.817984997935241,,,,,,,,,,
acc,1778673004.0,3.0,-0.08096750360627139,0.15791963894942138,-9.817233098894791,,,,,,,,,,
acc,1778673004.0,3.0,-0.08068439535422425,0.15817731875548324,-9.816542912561292,,,,,,,,,,
acc,1778673004.0,3.0,-0.08042358800001859,0.15841470070378488,-9.81590709332873,,,,,,,,,,
acc,1778673004.0,3.0,-0.08018252847535833,0.158634108549069,-9.815319417101433,,,,,,,,,,
acc,1778673004.0,3.0,-0.07995903918036189,0.1588375243017896,-9.814774575133832,,,,,,,,,,
acc,1778673004.0,3.0,-0.08116528458923276,0.1577540117208534,-9.812712546278311,,,,,,,,,,
acc,1778673004.0,3.0,-0.08092207655394063,0.15797487129208307,-9.810790331052994,,,,,,,,,,
acc,1778673004.0,3.0,-0.0806948017338782,0.15698926081319903,-9.810318517202186,,,,,,,,,,
acc,1778673004.0,3.0,-0.08048192867712493,0.15606610568606932,-9.809876600862257,,,,,,,,,,
acc,1778673004.0,3.0,-0.0802821161918284,0.15519958963617855,-9.809461797770117,,,,,,,,,,
acc,1778673004.0,3.0,-0.0800941846924386,0.1543845972183643,-9.809071659151194,,,,,,,,,,
acc,1778673004.0,3.0,-0.07991709257291403,0.15467629728564877,-9.808821758853892,,,,,,,,,,
acc,1778673004.0,3.0,-0.07974991660721792,0.1549516638043443,-9.808585851555243,,,,,,,,,,
acc,1778673004.0,3.0,-0.0795918355983472,0.15420724382782086,-9.808251139723541,,,,,,,,,,
acc,1778673004.0,3.0,-0.07944211666461104,0.15448185554063457,-9.80804297750942,,,,,,,,,,
acc,1778673004.0,3.0,-0.0793001036798936,0.15474233314357932,-9.807845529286972,,,,,,,,,,
acc,1778673004.0,3.0,-0.07916520748326106,0.15498975726479697,-9.80765797591435,,,,,,,,,,
acc,1778673004.0,3.0,-0.07802356138326264,0.15431311659213803,-9.80747957977451,,,,,,,,,,
acc,1778673004.0,3.0,-0.07792706128659782,0.15456039035025673,-9.80730967488124,,,,,,,,,,
acc,1778673004.0,3.0,-0.07686564877622372,0.1539237474883618,-9.806081333807324,,,,,,,,,,
acc,1778673004.0,3.0,-0.07585233167876404,0.15417005175871237,-9.805857670081409,,,,,,,,,,
acc,1778673004.0,3.0,-0.07581346207035321,0.1535688243341178,-9.805643902802485,,,,,,,,,,
acc,1778673004.0,3.0,-0.07577627272079157,0.15381356792827786,-9.805530480103025,,,,,,,,,,
acc,1778673004.0,3.0,-0.07574065473037424,0.1540479703874295,-9.805421849845436,,,,,,,,,,
acc,1778673004.0,3.0,-0.07570650843191983,0.15427268762259239,-9.805317708057721,,,,,,,,,,
acc,1778673004.0,3.0,-0.07567374243299028,0.1544883210885924,-9.805217776004785,,,,,,,,,,
acc,1778673004.0,3.0,-0.07564227277491248,0.15554045211926273,-9.805882330033924,,,,,,,,,,
acc,1778673004.0,3.0,-0.07561202219231444,0.15572157115180038,-9.80652114048746,,,,,,,,,,
acc,1778673004.0,3.0,-0.07558291945943409,0.1558958176743726,-9.806401218654036,,,,,,,,,,
acc,1778673004.0,3.0,-0.07555489881156423,0.15606358543940058,-9.806285755701465,,,,,,,,,,
acc,1778673004.0,3.0,-0.07552789943174763,0.15622523857568812,-9.806174501025067,,,,,,,,,,
acc,1778673004.0,3.0,-0.07550186499429493,0.15638111432151272,-9.806067222527053,,,,,,,,,,
