0,1778675255,57.776653,11.915348,63.900002,0.361140,3
1,1778675255,13184,0.039062,0.320312,-9.800781
1,1778675255,16414,0.078125,0.320312,-9.800781
1,1778675255,19685,0.039062,0.281250,-9.839844
1,1778675255,26272,0.039062,0.281250,-9.796875
1,1778675255,35928,0.039062,0.281250,-9.839844
2,1778675255,42123,0.000000,0.000000,0.000000
1,1778675255,46062,0.039062,0.320312,-9.800781
1,1778675255,49313,0.039062,0.320312,-9.800781
1,1778675255,57736,0.039062,0.320312,-9.800781
1,1778675255,65106,0.039062,0.320312,-9.800781
1,1778675255,74972,0.039062,0.281250,-9.796875
1,1778675255,79198,0.039062,0.320312,-9.800781
1,1778675255,89095,0.039062,0.320312,-9.800781
2,1778675255,92094,0.000000,0.000000,0.000000
3,1778675255,95728,0.975281,0.220581,0.004944,0.014221
1,1778675255,98927,0.078125,0.281250,-9.839844
1,1778675255,104146,0.078125,0.281250,-9.796875
1,1778675255,110841,0.039062,0.281250,-9.796875
1,1778675255,119687,0.039062,0.281250,-9.839844
1,1778675255,127418,0.039062,0.320312,-9.800781
1,1778675255,135132,0.000000,0.320312,-9.835938
2,1778675255,142530,0.000000,0.000000,0.000000
1,1778675255,146481,0.039062,0.320312,-9.835938
1,1778675255,149519,0.039062,0.281250,-9.796875
1,1778675255,169662,0.039062,0.320312,-9.835938
1,1778675255,172162,0.039062,0.281250,-9.796875
1,1778675255,176118,0.039062,0.281250,-9.839844
1,1778675255,183819,0.078125,0.281250,-9.839844
1,1778675255,188750,0.039062,0.281250,-9.796875
2,1778675255,192226,0.000000,0.000000,0.000000
3,1778675255,195864,0.975281,0.220581,0.004944,0.014221
1,1778675255,199091,0.039062,0.281250,-9.796875
1,1778675255,203582,0.000000,0.281250,-9.796875
1,1778675255,214219,0.000000,0.281250,-9.796875
1,1778675255,219683,0.039062,0.281250,-9.839844
1,1778675255,228565,0.000000,0.281250,-9.796875
1,1778675255,236436,0.039062,0.281250,-9.839844
2,1778675255,242647,0.000000,0.000000,0.000000
1,1778675255,246579,0.039062,0.281250,-9.796875
1,1778675255,251284,0.039062,0.281250,-9.839844
1,1778675255,259627,0.039062,0.281250,-9.796875
1,1778675255,266611,0.039062,0.281250,-9.839844
1,1778675255,274945,0.039062,0.320312,-9.835938
1,1778675255,285710,0.039062,0.320312,-9.800781
1,1778675255,290374,0.039062,0.320312,-9.835938
3,1778675255,295009,0.975281,0.220581,0.004944,0.014282
1,1778675255,298174,0.039062,0.281250,-9.796875
1,1778675255,306936,0.039062,0.281250,-9.796875
1,1778675255,314143,0.039062,0.281250,-9.839844
1,1778675255,326624,0.039062,0.281250,-9.761719
1,1778675255,329882,0.039062,0.281250,-9.839844
1,1778675255,337409,0.039062,0.281250,-9.839844
2,1778675255,341910,0.000000,0.000000,0.000000
1,1778675255,345856,0.039062,0.320312,-9.835938
1,1778675255,354954,0.039062,0.320312,-9.800781
1,1778675255,359989,0.039062,0.320312,-9.800781
1,1778675255,368852,0.000000,0.320312,-9.835938
1,1778675255,376379,0.000000,0.320312,-9.757812
1,1778675255,385934,0.039062,0.281250,-9.839844
2,1778675255,392102,0.000000,0.000000,0.000000
1,1778675255,397456,0.039062,0.281250,-9.796875
1,1778675255,400439,0.078125,0.281250,-9.839844
1,1778675255,406544,0.039062,0.320312,-9.800781
1,1778675255,414458,0.039062,0.281250,-9.839844
1,1778675255,424679,0.039062,0.281250,-9.796875
1,1778675255,430576,0.000000,0.320312,-9.800781
1,1778675255,438773,0.000000,0.320312,-9.835938
2,1778675255,442254,0.000000,0.000000,0.000000
1,1778675255,445474,0.000000,0.320312,-9.800781
1,1778675255,454538,0.039062,0.320312,-9.800781
1,1778675255,462043,0.039062,0.320312,-9.800781
1,1778675255,469241,0.039062,0.281250,-9.839844
1,1778675255,477475,0.078125,0.320312,-9.835938
1,1778675255,485431,0.039062,0.281250,-9.839844
2,1778675255,497193,0.000000,0.000000,0.000000
1,1778675255,502175,0.039062,0.320312,-9.800781
1,1778675255,508823,0.000000,0.320312,-9.800781
1,1778675255,515605,0.039062,0.320312,-9.800781
1,1778675255,525136,0.039062,0.320312,-9.800781
1,1778675255,533479,0.039062,0.320312,-9.800781
1,1778675255,539549,0.039062,0.281250,-9.839844
2,1778675255,542027,0.000000,0.000000,0.000000
1,1778675255,547587,0.039062,0.281250,-9.839844
1,1778675255,554303,0.039062,0.281250,-9.839844
1,1778675255,565544,0.039062,0.281250,-9.839844
1,1778675255,569749,0.039062,0.281250,-9.796875
1,1778675255,578620,0.000000,0.320312,-9.835938
1,1778675255,585347,0.039062,0.281250,-9.796875
2,1778675255,592674,0.000000,0.000000,0.000000
1,1778675255,598021,0.000000,0.281250,-9.796875
1,1778675255,604948,0.000000,0.320312,-9.800781
1,1778675255,609125,0.039062,0.281250,-9.796875
1,1778675255,617342,0.039062,0.281250,-9.796875
1,1778675255,625215,0.039062,0.281250,-9.839844
1,1778675255,635213,0.039062,0.281250,-9.839844
1,1778675255,640076,0.039062,0.281250,-9.839844
2,1778675255,642565,0.000000,0.000000,0.000000
1,1778675255,649341,0.000000,0.320312,-9.800781
1,1778675255,656388,0.039062,0.355469,-9.800781
1,1778675255,670368,0.039062,0.320312,-9.800781
1,1778675255,672852,0.000000,0.281250,-9.796875
1,1778675255,679613,0.039062,0.281250,-9.839844
1,1778675255,687654,0.039062,0.281250,-9.839844
2,1778675255,692126,0.000000,0.000000,0.000000
1,1778675255,696744,0.039062,0.281250,-9.796875
1,1778675255,703854,0.039062,0.281250,-9.839844
1,1778675255,709195,0.039062,0.281250,-9.796875
1,1778675255,718573,0.039062,0.281250,-9.796875
1,1778675255,726237,0.000000,0.320312,-9.835938
1,1778675255,736281,0.000000,0.320312,-9.835938
1,1778675255,741432,0.000000,0.320312,-9.835938
2,1778675255,745353,0.000000,0.000000,0.000000
1,1778675255,749759,0.039062,0.320312,-9.800781
1,1778675255,757243,0.039062,0.320312,-9.835938
1,1778675255,765199,0.039062,0.320312,-9.800781
1,1778675255,774260,0.039062,0.281250,-9.796875
1,1778675255,780301,0.039062,0.281250,-9.878906
1,1778675255,789018,0.039062,0.320312,-9.875000
2,1778675255,792502,0.000000,0.000000,0.000000
1,1778675255,797828,0.039062,0.320312,-9.835938
1,1778675255,804462,0.000000,0.320312,-9.800781
1,1778675255,811170,0.000000,0.320312,-9.800781
1,1778675255,818738,0.039062,0.320312,-9.800781
1,1778675255,827410,0.039062,0.320312,-9.800781
1,1778675255,838922,0.039062,0.281250,-9.796875
2,1778675255,842397,0.000000,0.000000,0.000000
1,1778675255,846337,0.039062,0.281250,-9.796875
1,1778675255,850102,0.078125,0.281250,-9.839844
1,1778675255,858993,0.078125,0.281250,-9.839844
1,1778675255,866557,0.078125,0.281250,-9.796875
1,1778675255,875598,0.039062,0.281250,-9.796875
1,1778675255,881240,0.039062,0.281250,-9.796875
1,1778675255,889447,0.039062,0.320312,-9.800781
2,1778675255,892425,0.000000,0.000000,0.000000
3,1778675255,896044,0.975281,0.220581,0.004883,0.014343
1,1778675255,899245,0.039062,0.320312,-9.800781
1,1778675255,904467,0.039062,0.281250,-9.761719
1,1778675255,913965,0.039062,0.281250,-9.796875
1,1778675255,920008,0.039062,0.281250,-9.796875
1,1778675255,928954,0.078125,0.281250,-9.796875
1,1778675255,937096,0.039062,0.281250,-9.796875
2,1778675255,943294,0.000000,0.000000,0.000000
1,1778675255,947228,0.039062,0.281250,-9.796875
1,1778675255,951714,0.039062,0.281250,-9.796875
1,1778675255,959632,0.039062,0.281250,-9.796875
1,1778675255,967884,0.000000,0.320312,-9.800781
1,1778675255,974559,0.000000,0.281250,-9.796875
