sensor,time,t,ax,ay,az,wx,wy,wz,lat,lon,alt,v_kmh,satellites,x,y
acc,1778672674.0,93.0,-0.074219,0.164062,-9.800781,,,,,,,,,,
acc,1778672674.0,93.0,-0.074219,0.1530739534426398,-9.799560175393871,,,,,,,,,,
acc,1778672674.0,93.0,-0.074219,0.14731779294402103,-9.798920638390014,,,,,,,,,,
acc,1778672674.0,93.0,-0.074219,0.1437751255881064,-9.798527031077118,,,,,,,,,,
acc,1778672674.0,93.0,-0.08052450371926326,0.1413749073018436,-9.798890873415614,,,,,,,,,,
acc,1778672674.0,93.0,-0.08507926193925668,0.1445295249712385,-9.798610568222667,,,,,,,,,,
acc,1778672674.0,93.0,-0.08852379040455999,0.14691519943177994,-9.79839858787828,,,,,,,,,,
acc,1778672674.0,93.0,-0.0912201198235902,0.14878267252627808,-9.798232652585659,,,,,,,,,,
acc,1778672674.0,93.0,-0.09338830807890362,0.1502843559637792,-9.798099219723168,,,,,,,,,,
acc,1778672674.0,93.0,-0.09516982092675169,0.15151822868251238,-9.80183772141458,,,,,,,,,,
acc,1778672674.0,93.0,-0.09665974187272698,0.15255014535408096,-9.804964317994184,,,,,,,,,,
acc,1778672674.0,93.0,-0.09792434120003177,0.15342600466206993,-9.804348856395821,,,,,,,,,,
acc,1778672674.0,93.0,-0.09901122146712689,0.15169058098928903,-9.804096338399363,,,,,,,,,,
acc,1778672674.0,93.0,-0.09737071063041146,0.15250920254684205,-9.80620331340296,,,,,,,,,,
acc,1778672674.0,93.0,-0.09835932695193322,0.15322705775714754,-9.805623680772264,,,,,,,,,,
acc,1778672674.0,93.0,-0.09694529142258773,0.15180243580201216,-9.805111221041644,,,,,,,,,,
acc,1778672674.0,93.0,-0.09785043291928151,0.1524817231579536,-9.804654862175703,,,,,,,,,,
acc,1778672674.0,93.0,-0.09866168920433821,0.15309055187576176,-9.804245838835607,,,,,,,,,,
acc,1778672674.0,93.0,-0.10134708277088028,0.15363938548168882,-9.80387712141462,,,,,,,,,,
acc,1778672674.0,93.0,-0.10191652415918802,0.15413671322137026,-9.80354300666731,,,,,,,,,,
acc,1778672674.0,93.0,-0.10065299125452934,0.15458949471768363,-9.803417006730024,,,,,,,,,,
acc,1778672674.0,93.0,-0.09949769626237835,0.15346700010298212,-9.803131088968266,,,,,,,,,,
acc,1778672674.0,93.0,-0.09843722301817326,0.1524366351193696,-9.802868638132379,,,,,,,,,,
acc,1778672674.0,93.0,-0.097460284977593,0.15290559030154754,-9.802784424971696,,,,,,,,,,
acc,1778672674.0,93.0,-0.09655731880011668,0.15197316258352425,-9.802554833067337,,,,,,,,,,
acc,1778672674.0,93.0,-0.09718405576239512,0.15242620406101504,-9.803952282524184,,,,,,,,,,
