sensor,time,t,ax,ay,az,wx,wy,wz,lat,lon,alt,v_kmh,satellites,x,y
acc,1778674321.0,120.0,-0.035156,0.394531,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.355469,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.511719,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.355469,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.757812,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.757812,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.28125,-9.761719,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.355469,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.355469,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.355469,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.320312,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.875,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.355469,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.355469,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.355469,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.355469,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.355469,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.394531,-9.839844,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.394531,-9.839844,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.394531,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.394531,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.394531,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.394531,-9.839844,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.433594,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.433594,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,-0.074219,0.433594,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.472656,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.433594,-9.761719,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.433594,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.433594,-9.839844,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.394531,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.394531,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.394531,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.394531,-9.839844,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.394531,-9.761719,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.394531,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.394531,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.355469,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.320312,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.320312,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.28125,-9.761719,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.320312,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,0.039062,0.355469,-9.757812,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.355469,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.320312,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.355469,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.355469,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.320312,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.355469,-9.835938,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.355469,-9.800781,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.394531,-9.761719,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.355469,-9.757812,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.394531,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.394531,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,-0.035156,0.394531,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.394531,-9.796875,,,,,,,,,,
acc,1778674321.0,120.0,0.0,0.394531,-9.796875,,,,,,,,,,
