sensor,time,t,ax,ay,az,wx,wy,wz,lat,lon,alt,v_kmh,satellites,x,y
acc,1778675478.0,223.0,0.117188,0.320312,-9.835938,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.15625,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.15625,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.355469,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.355469,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.078125,0.355469,-9.835938,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.355469,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.355469,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.355469,-9.835938,,,,,,,,,,
acc,1778675478.0,223.0,0.15625,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.15625,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.15625,0.320312,-9.835938,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.835938,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.078125,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.28125,-9.839844,,,,,,,,,,
acc,1778675478.0,223.0,0.15625,0.28125,-9.839844,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.078125,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.078125,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.15625,0.28125,-9.796875,,,,,,,,,,
acc,1778675478.0,223.0,0.15625,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.15625,0.320312,-9.835938,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.835938,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.078125,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.078125,0.320312,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.355469,-9.800781,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.835938,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.835938,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.835938,,,,,,,,,,
acc,1778675478.0,223.0,0.117188,0.320312,-9.800781,,,,,,,,,,
