sensor,time,t,ax,ay,az,wx,wy,wz,lat,lon,alt,v_kmh,satellites,x,y
acc,1778675410.0,155.0,0.078125,0.320312,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.078125,0.355469,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.078125,0.355469,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.078125,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.078125,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.078125,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.078125,0.320312,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.28125,-9.796875,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.757812,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.355469,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.355469,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.355469,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.355469,-9.757812,,,,,,,,,,
acc,1778675410.0,155.0,0.15625,0.320312,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.15625,0.320312,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.15625,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.355469,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.355469,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.355469,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.15625,0.320312,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.15625,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.15625,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.15625,0.28125,-9.796875,,,,,,,,,,
acc,1778675410.0,155.0,0.15625,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.15625,0.28125,-9.796875,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.15625,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.15625,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.15625,0.355469,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.355469,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.078125,0.355469,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.355469,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.078125,0.355469,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.078125,0.355469,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.078125,0.355469,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.078125,0.355469,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.875,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.078125,0.320312,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.078125,0.320312,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.355469,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.320312,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.355469,-9.835938,,,,,,,,,,
acc,1778675410.0,155.0,0.117188,0.355469,-9.800781,,,,,,,,,,
acc,1778675410.0,155.0,0.078125,0.355469,-9.835938,,,,,,,,,,
