Time [s],Steer [deg],Speed [km/h],Car ax [m/s²],Car ay [m/s²],Car az [m/s²],IMU ax [m/s²],IMU ay [m/s²],IMU az [m/s²],IMU wx [rad/s],IMU wy [rad/s],IMU wz [rad/s],IMU pos X [m],IMU pos Y [m],IMU pos Z [m]
0.03000000000000002,1.0083996808398015e-13,2.8932472241433655e-05,2.079773702911794e-06,-0.0010349779456371995,-7.801616273796236e-06,0.011014891689928105,-0.0036937002550176744,9.805983011724436,8.288726225530695e-06,-6.038763513136459e-08,2.5340145229581673e-07,1.9016274581562655,-1.7499988216407116,1.4715374137147748
0.05600000000000004,2.375111512660995e-13,4.1415424197957884e-05,-2.9499785763044e-06,-0.0008109366099432846,4.489777801708615e-06,0.011013851881517982,-0.005466803974758083,9.806001743808833,3.6006386362374126e-06,-1.1266016430784494e-07,2.509067063347392e-07,1.9016274598589094,-1.7499981433857832,1.4715373510103067
0.09000000000000007,1.7457026141597961e-13,2.9361811561114883e-05,-1.989213860237061e-07,-0.0005282037713406547,1.1325916793530247e-05,0.01100759359629695,-0.0006757681942409965,9.806012283780634,1.435995579644461e-05,-4.4455587433679144e-08,2.4993275146331108e-08,1.901627462518392,-1.7499978214440235,1.471537247202686
0.1230000000000001,6.412812970917701e-14,1.4498630501585594e-05,1.381314505355566e-06,-0.000187077587118258,2.6641825202025694e-05,0.011006408637564882,0.0005512266589163913,9.806027180520791,9.586050737528991e-06,9.694360264050007e-08,-1.2442244207831893e-07,1.9016274683559158,-1.7499977671740492,1.4715371563122692
0.1590000000000001,2.726769795777242e-15,5.5740254501407795e-06,-2.040600015871653e-07,-2.241128487539683e-05,3.0464758950449848e-05,0.011012771463426819,0.00039408548830369844,9.806025965485608,4.5216798903913885e-06,2.2145356970369786e-07,-1.5874772975184784e-07,1.9016274794112746,-1.7499978891241397,1.4715370915954296
0.20300000000000015,-1.2544020768203615e-14,8.27115493516056e-06,-3.4803420502660274e-07,1.735197522678212e-05,1.9142824485958487e-05,0.011015292468774971,0.0006308739135294024,9.806012209234922,-3.1788061128443183e-06,2.0287987197249656e-07,-1.1312557672093736e-07,1.9016274952395609,-1.7499981370938618,1.4715370558819423
0.21000000000000016,-1.1363938183887676e-14,6.7491545707222775e-06,1.7232538524584083e-07,6.794394899753637e-05,6.033388311904445e-06,0.011015810563606237,0.0008704898885103131,9.80599800593296,-9.530268388114513e-06,1.9084994932233886e-07,-9.420626882755805e-08,1.90162749757969,-1.7499981179717525,1.4715370535374739
0.23900000000000018,1.258557148102797e-14,1.8738947988051346e-05,5.268866290196868e-07,0.00040545218858337574,-5.97076146632583e-05,0.011017309406519436,0.0020168877015527566,9.805930329942537,-5.424654092928063e-05,9.946085881807404e-08,8.309858994350829e-08,1.9016275063041326,-1.749997408227066,1.4715370376188495
0.2700000000000002,7.07369580055358e-14,9.292331146026657e-05,1.081148730609137e-06,0.0008980577535274958,-0.00017793249196479025,0.01101968114075643,0.003142691659418439,9.805808973899744,-0.00013081946235153334,-9.398591078302102e-08,4.842120919573209e-07,1.9016275126028634,-1.7499947004104397,1.4715369527943767
0.2840000000000002,8.741001534935788e-14,0.00014514077292969722,1.4139373411682012e-06,0.00112475604036109,-0.0002408307491324475,0.011020580756333602,0.0035573767528427505,9.805744726811188,-0.00017251515718213532,-2.184627228656712e-07,7.299448489704625e-07,1.901627513812989,-1.7499925259129088,1.4715368623126395
0.3010000000000002,4.265020428382694e-15,0.00022383854098930066,1.9285582286322213e-06,0.0013831437007766978,-0.00031849916845115556,0.011021085998744433,0.003928725648233975,9.805665896928453,-0.00022705070432174772,-3.948077184537946e-07,1.063835741649071e-06,1.9016275135297487,-1.749988916803238,1.471536684322423
0.32300000000000023,-8.149770368615673e-13,0.0003476110257356638,2.855322569342532e-06,0.0016517273664646646,-0.00041201650051383043,0.011020330781845639,0.004224198638429445,9.805572043833013,-0.0003003157473069058,-6.429013319525478e-07,1.5183807858707147e-06,1.901627510092008,-1.7499824994757471,1.4715363084058026
0.35300000000000026,-6.396932374857807e-12,0.0005469552425066917,4.792848879114921e-06,0.0019079621717127233,-0.0005142286058575405,0.011015783468351263,0.004458076536288735,9.805472302536886,-0.00040334230552031613,-9.456284807970708e-07,2.0985188482867754e-06,1.901627500615514,-1.7499702979778238,1.4715354573768442
0.3890000000000003,-2.8191434627738926e-11,0.0008167360536204368,8.27739555123607e-06,0.0020897152382709193,-0.0005867767168357833,0.011005546475044531,0.004466898431987669,9.805406462376665,-0.0005294423131897544,-1.1092175539150719e-06,2.660795451859027e-06,1.901627487485074,-1.749950033279369,1.4715338120880463
0.4070000000000003,-4.6947478816417424e-11,0.0009587895612183453,1.0463819019233362e-05,0.002131746174248504,-0.0006017768362297322,0.010999326889501844,0.004376072025114766,9.80539549857456,-0.000591634566859536,-1.0712003512873798e-06,2.879765404746849e-06,1.9016274837710285,-1.7499375284951157,1.4715327079596776
0.4200000000000003,-6.353311562775041e-11,0.0010627746994642446,1.2203509656214345e-05,0.0021472095511720505,-0.0006048274529643505,0.010994721252760525,0.004293663345074961,9.805395317352557,-0.0006361627742262313,-9.902914871644044e-07,3.011477782309544e-06,1.9016274837279388,-1.7499275091053403,1.4715317901106353
0.4290000000000003,-7.631986249760405e-11,0.0011350948526577564,1.3475970565777204e-05,0.00215247194267006,-0.0006035701697144112,0.010991582233132029,0.004229023650533917,9.805398441348224,-0.0006668289289288121,-9.090749403386801e-07,3.0904409626154302e-06,1.9016274854474478,-1.749920087423993,1.4715310954217264
0.46400000000000036,-1.3364731647772418e-10,0.00141622091178528,1.8804156152843333e-05,0.0021447805905914484,-0.000577960687001727,0.01098072793127833,0.003918622139280983,9.805429539883269,-0.0007848157260074917,-4.2952617363202575e-07,3.3183731607801617e-06,1.901627510577413,-1.7498874671226803,1.4715279404935284
0.5020000000000003,-2.0323031735884946e-10,0.0017158118306323715,2.4774385677153947e-05,0.0020866917601434234,-0.0005226208722248605,0.010972969794582406,0.003380445759488943,9.805486552097065,-0.000907779041187343,2.60531082097744e-07,3.4611936590956325e-06,1.9016275818448536,-1.7498453844820974,1.471523737942959
0.5140000000000003,-2.2556628809480535e-10,0.0018079342904976598,2.660004566689576e-05,0.002056766247979732,-0.0005011064537311878,0.01097150348504495,0.003186604647206505,9.805507660841164,-0.0009449989901807579,4.836247911709111e-07,3.4862293505736773e-06,1.9016276157236434,-1.7498306975756537,1.4715222548134166
0.5330000000000004,-2.6052164682167767e-10,0.0019504514216743217,2.935651252690869e-05,0.0020003725431198063,-0.0004640967714276432,0.01097007671531392,0.002847560331175401,9.805543266692135,-0.0010021381346478114,8.192595840667384e-07,3.5066220932018226e-06,1.9016276814761615,-1.7498061181089184,1.4715197650128833
0.5460000000000004,-2.8387768553934015e-10,0.002045233067190724,3.111387023585203e-05,0.0019550266414615517,-0.0004369063674184121,0.010969671051167054,0.0025869898324394217,9.80556905836309,-0.0010397258580507162,1.028244049777463e-06,3.507140400018879e-06,1.901627735264393,-1.749788390321939,1.471517967254553
0.5760000000000004,-3.3513711791666543e-10,0.002258343393783656,3.589561054622678e-05,0.0019296113593213536,-0.00040977600582177377,0.010969799825919,0.004002145629012752,9.805591094314732,-0.0011437814926950648,1.4056360908436552e-06,3.4686369511786367e-06,1.9016278871069976,-1.7497446833396495,1.4715135512571522
0.6010000000000004,-3.7492700392968863e-10,0.0024649433930131995,4.211597061763308e-05,0.0025698436144435165,-0.0004830821297267179,0.01096963254406263,0.006352132652361892,9.805511339448332,-0.0013040790597326384,1.5653775212848408e-06,3.7424139940922843e-06,1.9016280433658357,-1.7497041840899275,1.4715095882045952
0.6300000000000004,-4.1949503264093203e-10,0.0027974333060819426,5.1906072533614796e-05,0.003698773538373126,-0.0006783912066314388,0.010970708632209992,0.008729665830090199,9.805304221610806,-0.0015530576673180346,1.4558862133394124e-06,4.999530553751224e-06,1.9016282587148987,-1.7496502865131036,1.4715045951208745
0.6620000000000005,-4.704433254380749e-10,0.003306341753996632,6.532462970072303e-05,0.004929119543893692,-0.0009582739501413799,0.0109698219242854,0.009493034404844268,9.805010319130274,-0.001869877227733155,8.692182801502606e-07,7.528179331193229e-06,1.9016285383000844,-1.7495796233934764,1.4714983864775704
0.6650000000000005,-4.754629118946862e-10,0.00336063968434489,6.664469278589962e-05,0.0050041855629318985,-0.0009825664533359578,0.010969490716016495,0.009448196710845241,9.804984890663341,-0.001898453998743116,7.903260706634309e-07,7.802233889989324e-06,1.9016285667873047,-1.7495723364533675,1.4714977566762266
0.6960000000000005,-5.305831490389162e-10,0.003951603721306672,7.951412132923859e-05,0.005263550726346109,-0.001146389586899313,0.010960896184313134,0.007350620642548914,9.804815526429783,-0.0021564957685847675,-1.5143023194362733e-07,1.0488129493061678e-05,1.9016288855142736,-1.7494905586140115,1.4714906782799946
0.7250000000000005,-5.869039816984548e-10,0.004496696163220248,9.123171629876018e-05,0.004889274952086905,-0.0011600152996623118,0.010942203924695294,0.005627160005065971,9.80480815295926,-0.002355229268118295,-9.798457717134057e-07,1.2069426069120885e-05,1.9016292304224034,-1.7494042515554191,1.4714830390309837
0.7300000000000005,-5.969012446388391e-10,0.004586464438009391,9.324702346096827e-05,0.0048092578598871085,-0.0011502511824631574,0.01093805369433541,0.005362665581278656,9.80481996112946,-0.0023875861804617433,-1.0893863913570627e-06,1.223214388861385e-05,1.901629295501814,-1.7493884872676795,1.4714816202871408
0.7640000000000006,-6.650010781971243e-10,0.005159349741266798,0.0001065290352705603,0.004304881919409537,-0.001018500807669826,0.010907135562269238,0.003682156945483889,9.804968771914027,-0.0025993262029174098,-1.4333653270003122e-06,1.273112777681699e-05,1.9016297941756641,-1.7492748385263082,1.4714712179845022
